,Company Name,Industry,Symbol,Series,ISIN Code
0,ACC Ltd..NS,Construction Materials.NS,ACC.NS,EQ.NS,INE012A01025.NS
1,Adani Enterprises Ltd..NS,Metals & Mining.NS,ADANIENT.NS,EQ.NS,INE423A01024.NS
2,Adani Green Energy Ltd..NS,Power.NS,ADANIGREEN.NS,EQ.NS,INE364U01010.NS
3,Adani Ports and Special Economic Zone Ltd..NS,Services.NS,ADANIPORTS.NS,EQ.NS,INE742F01042.NS
4,Adani Total Gas Ltd..NS,Oil Gas & Consumable Fuels.NS,ATGL.NS,EQ.NS,INE399L01023.NS
5,Adani Transmission Ltd..NS,Power.NS,ADANITRANS.NS,EQ.NS,INE931S01010.NS
6,Ambuja Cements Ltd..NS,Construction Materials.NS,AMBUJACEM.NS,EQ.NS,INE079A01024.NS
7,Apollo Hospitals Enterprise Ltd..NS,Healthcare.NS,APOLLOHOSP.NS,EQ.NS,INE437A01024.NS
8,Asian Paints Ltd..NS,Consumer Durables.NS,ASIANPAINT.NS,EQ.NS,INE021A01026.NS
9,Avenue Supermarts Ltd..NS,Consumer Services.NS,DMART.NS,EQ.NS,INE192R01011.NS
10,Axis Bank Ltd..NS,Financial Services.NS,AXISBANK.NS,EQ.NS,INE238A01034.NS
11,Bajaj Auto Ltd..NS,Automobile and Auto Components.NS,BAJAJ-AUTO.NS,EQ.NS,INE917I01010.NS
12,Bajaj Finance Ltd..NS,Financial Services.NS,BAJFINANCE.NS,EQ.NS,INE296A01024.NS
13,Bajaj Finserv Ltd..NS,Financial Services.NS,BAJAJFINSV.NS,EQ.NS,INE918I01026.NS
14,Bajaj Holdings & Investment Ltd..NS,Financial Services.NS,BAJAJHLDNG.NS,EQ.NS,INE118A01012.NS
15,Bandhan Bank Ltd..NS,Financial Services.NS,BANDHANBNK.NS,EQ.NS,INE545U01014.NS
16,Bank of Baroda.NS,Financial Services.NS,BANKBARODA.NS,EQ.NS,INE028A01039.NS
17,Berger Paints India Ltd..NS,Consumer Durables.NS,BERGEPAINT.NS,EQ.NS,INE463A01038.NS
18,Bharat Electronics Ltd..NS,Capital Goods.NS,BEL.NS,EQ.NS,INE263A01024.NS
19,Bharat Petroleum Corporation Ltd..NS,Oil Gas & Consumable Fuels.NS,BPCL.NS,EQ.NS,INE029A01011.NS
20,Bharti Airtel Ltd..NS,Telecommunication.NS,BHARTIARTL.NS,EQ.NS,INE397D01024.NS
21,Biocon Ltd..NS,Healthcare.NS,BIOCON.NS,EQ.NS,INE376G01013.NS
22,Bosch Ltd..NS,Automobile and Auto Components.NS,BOSCHLTD.NS,EQ.NS,INE323A01026.NS
23,Britannia Industries Ltd..NS,Fast Moving Consumer Goods.NS,BRITANNIA.NS,EQ.NS,INE216A01030.NS
24,Cholamandalam Investment and Finance Company Ltd..NS,Financial Services.NS,CHOLAFIN.NS,EQ.NS,INE121A01024.NS
25,Cipla Ltd..NS,Healthcare.NS,CIPLA.NS,EQ.NS,INE059A01026.NS
26,Coal India Ltd..NS,Oil Gas & Consumable Fuels.NS,COALINDIA.NS,EQ.NS,INE522F01014.NS
27,Colgate Palmolive (India) Ltd..NS,Fast Moving Consumer Goods.NS,COLPAL.NS,EQ.NS,INE259A01022.NS
28,DLF Ltd..NS,Realty.NS,DLF.NS,EQ.NS,INE271C01023.NS
29,Dabur India Ltd..NS,Fast Moving Consumer Goods.NS,DABUR.NS,EQ.NS,INE016A01026.NS
30,Divi's Laboratories Ltd..NS,Healthcare.NS,DIVISLAB.NS,EQ.NS,INE361B01024.NS
31,Dr. Reddy's Laboratories Ltd..NS,Healthcare.NS,DRREDDY.NS,EQ.NS,INE089A01023.NS
32,Eicher Motors Ltd..NS,Automobile and Auto Components.NS,EICHERMOT.NS,EQ.NS,INE066A01021.NS
33,FSN E-Commerce Ventures Ltd..NS,Consumer Services.NS,NYKAA.NS,EQ.NS,INE388Y01029.NS
34,GAIL (India) Ltd..NS,Oil Gas & Consumable Fuels.NS,GAIL.NS,EQ.NS,INE129A01019.NS
35,Gland Pharma Ltd..NS,Healthcare.NS,GLAND.NS,EQ.NS,INE068V01023.NS
36,Godrej Consumer Products Ltd..NS,Fast Moving Consumer Goods.NS,GODREJCP.NS,EQ.NS,INE102D01028.NS
37,Grasim Industries Ltd..NS,Construction Materials.NS,GRASIM.NS,EQ.NS,INE047A01021.NS
38,HCL Technologies Ltd..NS,Information Technology.NS,HCLTECH.NS,EQ.NS,INE860A01027.NS
39,HDFC Asset Management Company Ltd..NS,Financial Services.NS,HDFCAMC.NS,EQ.NS,INE127D01025.NS
40,HDFC Bank Ltd..NS,Financial Services.NS,HDFCBANK.NS,EQ.NS,INE040A01034.NS
41,HDFC Life Insurance Company Ltd..NS,Financial Services.NS,HDFCLIFE.NS,EQ.NS,INE795G01014.NS
42,Havells India Ltd..NS,Consumer Durables.NS,HAVELLS.NS,EQ.NS,INE176B01034.NS
43,Hero MotoCorp Ltd..NS,Automobile and Auto Components.NS,HEROMOTOCO.NS,EQ.NS,INE158A01026.NS
44,Hindalco Industries Ltd..NS,Metals & Mining.NS,HINDALCO.NS,EQ.NS,INE038A01020.NS
45,Hindustan Aeronautics Ltd..NS,Capital Goods.NS,HAL.NS,EQ.NS,INE066F01012.NS
46,Hindustan Unilever Ltd..NS,Fast Moving Consumer Goods.NS,HINDUNILVR.NS,EQ.NS,INE030A01027.NS
47,Housing Development Finance Corporation Ltd..NS,Financial Services.NS,HDFC.NS,EQ.NS,INE001A01036.NS
48,ICICI Bank Ltd..NS,Financial Services.NS,ICICIBANK.NS,EQ.NS,INE090A01021.NS
49,ICICI Lombard General Insurance Company Ltd..NS,Financial Services.NS,ICICIGI.NS,EQ.NS,INE765G01017.NS
50,ICICI Prudential Life Insurance Company Ltd..NS,Financial Services.NS,ICICIPRULI.NS,EQ.NS,INE726G01019.NS
